question_id,category,difficulty,question_text,keywords,reference_answer,language
1,General Knowledge,easy,Who was the first President of India?,rajendra prasad|president|1950,"Dr. Rajendra Prasad was the first President of India, serving from 1950 to 1962.",en
2,General Knowledge,easy,What is the national emblem of India?,ashoka|lion capital|sarnath,"The Lion Capital of Ashoka at Sarnath is the national emblem of India, adopted on 26 January 1950.",en
3,General Knowledge,easy,How many fundamental rights are there in the Indian Constitution?,six|fundamental rights|constitution,"There are six fundamental rights in the Indian Constitution: Right to Equality, Right to Freedom, Right against Exploitation, Right to Freedom of Religion, Cultural and Educational Rights, and Right to Constitutional Remedies.",en
4,General Knowledge,medium,Explain the significance of the Quit India Movement.,1942|gandhi|british|independence,"The Quit India Movement was launched on 8 August 1942 by Mahatma Gandhi, demanding an end to British rule. It was a mass civil disobedience movement that significantly accelerated India's path to independence.",en
5,General Knowledge,medium,What is the difference between the Rajya Sabha and Lok Sabha?,upper house|lower house|parliament|elected|nominated,"The Lok Sabha is the lower house with 545 directly elected members, while the Rajya Sabha is the upper house with 245 members elected by state legislatures and nominated by the President. Lok Sabha has a 5-year term while Rajya Sabha members serve 6 years.",en
6,General Knowledge,medium,Who was Subhas Chandra Bose and what was his contribution to India's freedom?,netaji|ina|azad hind|forward bloc,"Subhas Chandra Bose, known as Netaji, founded the Indian National Army (INA) and the Azad Hind government. He led the INA alongside Japanese forces against British colonial rule during World War II.",en
7,General Knowledge,hard,Discuss the role of the National Security Council in India's defence policy.,nsc|prime minister|advisory|strategic|defence,"The National Security Council (NSC) is the apex body for strategic decision-making, chaired by the Prime Minister. It includes the National Security Adviser, ministers of Defence, External Affairs, Home, and Finance. It advises on matters of national security, nuclear policy, and strategic defence planning.",en
8,General Knowledge,hard,Explain the concept of judicial review in India and its importance.,supreme court|constitution|legislative|executive|unconstitutional,"Judicial review is the power of the Supreme Court and High Courts to examine the constitutionality of legislative and executive actions. Under Articles 13, 32, and 226, courts can declare any law or action void if it violates fundamental rights or exceeds constitutional authority.",en
9,General Knowledge,easy,What is the full form of NDA in the context of defence?,national defence academy|khadakwasla|pune|training,"NDA stands for National Defence Academy, located in Khadakwasla near Pune. It is a joint services academy that trains cadets for the Indian Army, Navy, and Air Force.",en
10,General Knowledge,medium,What are the Panchsheel principles?,five principles|peaceful coexistence|nehru|china|1954,"The Panchsheel or Five Principles of Peaceful Coexistence were agreed upon by India and China in 1954: mutual respect for sovereignty, non-aggression, non-interference, equality and mutual benefit, and peaceful coexistence.",en
11,General Knowledge,hard,Analyze the strategic importance of India's nuclear doctrine.,no first use|credible minimum deterrence|nuclear triad|retaliation,"India's nuclear doctrine is based on credible minimum deterrence and a no-first-use policy. It maintains a nuclear triad capability across land, sea, and air. India commits to massive retaliation only in response to a nuclear attack on Indian territory or forces.",en
12,General Knowledge,easy,Name the three wings of the Indian Armed Forces.,army|navy|air force|defence,"The three wings of the Indian Armed Forces are the Indian Army, Indian Navy, and Indian Air Force, operating under the Ministry of Defence.",en
13,General Knowledge,medium,What is the significance of Republic Day in India?,26 january|constitution|1950|parade|rajpath,"Republic Day is celebrated on 26 January to commemorate the adoption of the Indian Constitution in 1950. The day features a grand military parade on Rajpath, New Delhi, showcasing India's defence capability and cultural diversity.",en
14,General Knowledge,hard,Explain the role of DRDO in India's defence modernization.,defence research|missiles|combat|indigenous|development,"DRDO (Defence Research and Development Organisation) is responsible for India's military research and development. It has developed indigenous missiles (Agni, Prithvi, BrahMos), combat aircraft (Tejas), tanks (Arjun), and electronic warfare systems, reducing India's dependence on foreign defence equipment.",en
15,General Knowledge,medium,What is Article 370 and why was it significant?,jammu kashmir|special status|autonomous|abrogated|2019,"Article 370 granted special autonomous status to Jammu and Kashmir within the Indian Union. It was abrogated on 5 August 2019, and the state was reorganized into two Union Territories: J&K and Ladakh.",en
16,Geography,easy,What is the longest river in India?,ganga|ganges|2525|varanasi|bay of bengal,"The Ganga (Ganges) is the longest river in India, spanning approximately 2,525 km. It originates at Gangotri glacier and flows into the Bay of Bengal.",en
17,Geography,easy,Name the highest peak in India.,kangchenjunga|8586|sikkim|himalaya,"Kangchenjunga at 8,586 metres is the highest peak in India, located on the border of Sikkim and Nepal in the Himalayas.",en
18,Geography,medium,Explain the strategic importance of the Siachen Glacier.,glacier|kashmir|pakistan|china|highest battleground,"The Siachen Glacier in Ladakh is the highest battleground in the world at over 20,000 feet. It holds strategic importance as it prevents the joining of Pakistani and Chinese-controlled territories and acts as a buffer zone.",en
19,Geography,medium,What are the major mountain passes of India and their strategic significance?,khyber|banihal|rohtang|nathu la|border,"Major passes include Khyber Pass (historical invasion route), Banihal Pass (connects Jammu to Kashmir), Rohtang Pass (Manali-Leh highway), and Nathu La (India-China border in Sikkim). They are critical for military movement and border security.",en
20,Geography,easy,Which ocean surrounds India on three sides?,indian ocean|arabian sea|bay of bengal|peninsula,"India is a peninsula surrounded by the Arabian Sea on the west, the Bay of Bengal on the east, and the Indian Ocean to the south.",en
21,Geography,hard,Discuss the geopolitical significance of the Andaman and Nicobar Islands.,andaman|nicobar|malacca strait|naval|strategic,"The Andaman and Nicobar Islands are strategically located near the Malacca Strait, one of the world's busiest shipping lanes. India's tri-service command there allows monitoring of maritime traffic, projecting naval power into Southeast Asia, and countering Chinese influence in the Indian Ocean.",en
22,Geography,medium,What is the Deccan Plateau and describe its geographical features.,plateau|peninsular|granite|black soil|western ghats|eastern ghats,"The Deccan Plateau is a large triangular plateau in peninsular India, bounded by the Western and Eastern Ghats. It is composed largely of igneous rocks, has black cotton soil in parts, and is drained by rivers like Godavari, Krishna, and Kaveri flowing eastward.",en
23,Geography,hard,Explain the concept of the Indian Ocean Region (IOR) and its importance for India's maritime security.,indian ocean|sea lanes|trade routes|naval dominance|piracy|china,"The IOR spans from the Strait of Hormuz to the Malacca Strait, carrying 80% of world oil trade. India's peninsular position gives it natural dominance. Key concerns include Chinese naval expansion (String of Pearls), piracy, and securing sea lanes of communication for energy and trade.",en
24,Geography,easy,What is the Thar Desert and where is it located?,thar|rajasthan|great indian desert|arid,"The Thar Desert, also called the Great Indian Desert, is located primarily in Rajasthan. It is India's largest arid region, spanning about 200,000 sq km and forming a natural boundary with Pakistan.",en
25,Geography,medium,Describe the course and significance of the Brahmaputra River.,brahmaputra|tibet|assam|bangladesh|flood|strategic,"The Brahmaputra originates in Tibet as Tsangpo, enters India through Arunachal Pradesh, flows through Assam, and exits into Bangladesh. It is strategically important as a transboundary river, causes major flooding, and its waters are a source of geopolitical tension between India and China.",en
26,Geography,easy,Name the states that share an international border with China.,arunachal pradesh|sikkim|uttarakhand|himachal pradesh|ladakh,"Five Indian states/UTs share a border with China: Ladakh, Himachal Pradesh, Uttarakhand, Sikkim, and Arunachal Pradesh, along the Line of Actual Control (LAC).",en
27,Geography,hard,Analyze the significance of the Palk Strait and its impact on India-Sri Lanka relations.,palk strait|sri lanka|tamil nadu|fishing|maritime boundary,"The Palk Strait separates India's Tamil Nadu from Sri Lanka, only 53-80 km wide. It is significant for fishing disputes, refugee movement during the Sri Lankan civil war, and proposed connectivity projects like the Sethusamudram Shipping Canal.",en
28,Geography,medium,What is the significance of the Western Ghats?,western ghats|biodiversity|rainfall|rivers|unesco,"The Western Ghats are a UNESCO World Heritage biodiversity hotspot running 1,600 km along India's western coast. They influence monsoon rainfall patterns, are the source of major peninsular rivers (Godavari, Krishna, Kaveri), and host unique ecosystems.",en
29,Geography,medium,Explain the Line of Actual Control (LAC).,lac|china|disputed|border|doklam|galwan,"The LAC is the de facto border between India and China, approximately 3,488 km long. Unlike the Line of Control with Pakistan, it is not marked on maps agreed by both nations, leading to disputes at places like Doklam, Galwan Valley, and Pangong Lake.",en
